Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"14272","","","None","192.168.56.115","tcp","22","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 22/tcp was found to be open"
"14272","","","None","192.168.56.115","udp","631","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 631/udp was found to be open"
"14272","","","None","192.168.56.115","udp","5353","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 5353/udp was found to be open"
"14272","","","None","192.168.56.115","udp","34946","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 34946/udp was found to be open"
"14272","","","None","192.168.56.115","udp","47982","Netstat Portscanner (SSH)","Remote open ports can be enumerated via SSH.","Nessus was able to run 'netstat' on the remote host to enumerate the
open ports. If 'netstat' is not available, the plugin will attempt to use 'ss'.

See the section 'plugins options' about configuring this plugin.

Note: This plugin will run on Windows (using netstat.exe) in the 
event that the target being scanned is localhost.","n/a","https://en.wikipedia.org/wiki/Netstat","Port 47982/udp was found to be open"
"19506","","","None","192.168.56.115","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 10.5.3
Nessus build : 20005
Plugin feed version : 202307260242
Scanner edition used : Nessus
Scanner OS : LINUX
Scanner distribution : debian10-x86-64
Scan type : Normal
Scan name : kali test
Scan policy used : Policy Compliance Auditing
Scanner IP : 192.168.56.104
Port scanner(s) : netstat 
Port range : default
Ping RTT : 202.038 ms
Thorough tests : no
Experimental tests : no
Plugin debugging enabled : no
Paranoia level : 1
Report verbosity : 1
Safe checks : no
Optimize the test : yes
Credentialed checks : yes, as 'vboxuser' via ssh
Attempt Least Privilege : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing : Yes
Scan Start Date : 2023/7/26 16:51 +08
Scan duration : 139 sec
Scan for malware : no
"
"21157","","","PASSED","192.168.56.115","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""CIS_Debian_Linux_10_v1.0.0_L1_Server.audit from CIS Debian Linux 10 Benchmark"" : [PASSED]

See Also: https://workbench.cisecurity.org/files/2658

Policy Value:
PASSED","n/a","https://workbench.cisecurity.org/files/2658",""
"21157","","","FAILED","192.168.56.115","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.1 Ensure mounting of freevxfs filesystems is disabled - modprobe"" : [FAILED]

The freevxfs filesystem type is a free version of the Veritas type filesystem. This is the primary filesystem type for HP-UX operating systems.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/freevxfs.conf
and add the following line:

install freevxfs /bin/true

Run the following command to unload the freevxfs module:

rmmod freevxfs

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv6|3.1,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Policy Value:
cmd: /sbin/modprobe -n -v freevxfs | /usr/bin/awk '{print} END {if (NR == 0) print ""fail""}'
expect: install /bin/true
system: Linux

Actual Value:
The command '/sbin/modprobe -n -v freevxfs | /usr/bin/awk '{print} END {if (NR == 0) print ""fail""}'' returned : 

insmod /lib/modules/6.1.0-10-amd64/kernel/fs/freevxfs/freevxfs.ko","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/freevxfs.conf
and add the following line:

install freevxfs /bin/true

Run the following command to unload the freevxfs module:

rmmod freevxfs","https://workbench.cisecurity.org/files/2658",""
"21157","","","PASSED","192.168.56.115","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.1 Ensure mounting of freevxfs filesystems is disabled - lsmod"" : [PASSED]

The freevxfs filesystem type is a free version of the Veritas type filesystem. This is the primary filesystem type for HP-UX operating systems.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/freevxfs.conf
and add the following line:

install freevxfs /bin/true

Run the following command to unload the freevxfs module:

rmmod freevxfs

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Policy Value:
cmd: /usr/sbin/lsmod | /bin/grep freevxfs | /usr/bin/awk '{print} END {if (NR == 0) print ""pass"" ; else print ""fail""}'
expect: pass
system: Linux

Actual Value:
The command '/usr/sbin/lsmod | /bin/grep freevxfs | /usr/bin/awk '{print} END {if (NR == 0) print ""pass"" ; else print ""fail""}'' returned : 

pass","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/freevxfs.conf
and add the following line:

install freevxfs /bin/true

Run the following command to unload the freevxfs module:

rmmod freevxfs","https://workbench.cisecurity.org/files/2658",""
"21157","","","FAILED","192.168.56.115","tcp","0","Unix Compliance Checks","Compliance checks for Unix systems","""1.1.1.2 Ensure mounting of jffs2 filesystems is disabled - modprobe"" : [FAILED]

The jffs2 (journaling flash filesystem 2) filesystem type is a log-structured filesystem used in flash memory devices.

Rationale:

Removing support for unneeded filesystem types reduces the local attack surface of the system. If this filesystem type is not needed, disable it.

Solution:
Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/jffs2.conf
and add the following line:

install jffs2 /bin/true

Run the following command to unload the jffs2 module:

# rmmod jffs2

See Also: https://workbench.cisecurity.org/files/2658

Reference: 800-171|3.4.2,800-53|CM-6,800-53r5|CM-6,CSCv6|3.1,CSCv7|5.1,CSF|PR.IP-1,GDPR|32.1.b,HIPAA|164.306(a)(1),ITSG-33|CM-6,LEVEL|1S,SWIFT-CSCv1|2.3

Policy Value:
cmd: /sbin/modprobe -n -v jffs2 | /usr/bin/awk '{print} END {if (NR == 0) print ""fail""}'
expect: install /bin/true
system: Linux

Actual Value:
The command '/sbin/modprobe -n -v jffs2 | /usr/bin/awk '{print} END {if (NR == 0) print ""fail""}'' returned : 

insmod /lib/modules/6.1.0-10-amd64/kernel/drivers/mtd/mtd.ko 
insmod /lib/modules/6.1.0-10-amd64/kernel/fs/jffs2/jffs2.ko","Edit or create a file in the /etc/modprobe.d/ directory ending in .conf
Example: vi /etc/modprobe.d/jffs2.conf
and add the following line:

install jffs2 /bin/true

Run the following command to unload the jffs2 module:

# rmmod jffs2","https://workbench.cisecurity.org/files/2658",""
